age,gender,income,education,marital_status,credit_score,loan_amount,employment_status,dependents,home_ownership,loan_purpose,loan_status
56,Male,22,PhD,Divorced,722,33,Self-Employed,5,Mortgage,Home,Approved
69,Female,38,Bachelor,Divorced,798,10,Unemployed,0,Mortgage,Home,Approved
46,Male,42,PhD,Single,590,22,Employed,1,Own,Education,Rejected
32,Female,123,PhD,Single,468,19,Unemployed,4,Mortgage,Business,Rejected
60,Male,124,PhD,Single,761,29,Unemployed,2,Mortgage,Personal,Rejected
25,Male,65,PhD,Single,652,3,Unemployed,4,Mortgage,Personal,Approved
38,Female,34,PhD,Married,539,39,Retired,5,Mortgage,Education,Rejected
56,Male,70,High School,Divorced,582,4,Self-Employed,5,Own,Education,Rejected
36,Female,129,Bachelor,Married,748,37,Employed,2,Own,Education,Rejected
40,Female,27,Bachelor,Divorced,365,31,Employed,2,Mortgage,Business,Rejected
28,Male,88,PhD,Married,626,6,Self-Employed,5,Mortgage,Education,Rejected
28,Male,82,High School,Divorced,755,28,Employed,1,Own,Business,Rejected
41,Male,87,High School,Single,776,10,Employed,1,Own,Business,Approved
70,Male,25,Master,Divorced,584,12,Unemployed,4,Rent,Car,Rejected
53,Male,138,Master,Single,330,46,Unemployed,3,Own,Education,Approved
57,Female,76,High School,Divorced,747,2,Self-Employed,3,Mortgage,Education,Approved
41,Male,50,Master,Married,513,3,Employed,4,Own,Personal,Rejected
20,Female,25,Bachelor,Widowed,324,1,Self-Employed,2,Mortgage,Education,Rejected
39,Male,86,High School,Divorced,672,35,Self-Employed,1,Own,Business,Approved
70,Male,150,Master,Married,696,24,Self-Employed,4,Own,Education,Approved
19,Male,93,High School,Widowed,636,47,Self-Employed,3,Own,Home,Approved
41,Female,133,Master,Married,579,48,Unemployed,2,Mortgage,Personal,Rejected
61,Male,116,High School,Widowed,847,34,Retired,3,Own,Home,Approved
47,Female,99,PhD,Single,497,20,Self-Employed,2,Own,Business,Rejected
55,Female,142,Bachelor,Divorced,778,16,Employed,3,Rent,Home,Rejected
19,Female,52,Master,Married,369,30,Retired,5,Rent,Business,Rejected
38,Male,63,PhD,Divorced,804,47,Unemployed,0,Own,Personal,Approved
50,Female,32,High School,Single,409,39,Retired,2,Own,Car,Rejected
29,Male,76,PhD,Single,681,25,Retired,2,Mortgage,Home,Rejected
39,Female,115,Bachelor,Divorced,696,5,Unemployed,2,Mortgage,Personal,Rejected
61,Male,128,Master,Married,708,29,Self-Employed,0,Rent,Car,Rejected
42,Female,139,Master,Married,650,37,Retired,0,Mortgage,Business,Rejected
66,Male,119,High School,Married,833,28,Unemployed,3,Own,Business,Rejected
44,Male,130,Bachelor,Divorced,800,41,Unemployed,1,Rent,Car,Approved
59,Male,70,PhD,Married,720,23,Retired,5,Mortgage,Personal,Approved
45,Female,40,High School,Married,410,32,Unemployed,3,Mortgage,Car,Rejected
33,Female,79,Master,Widowed,508,46,Retired,2,Own,Home,Rejected
32,Male,40,PhD,Married,738,18,Retired,2,Mortgage,Car,Rejected
64,Female,126,High School,Single,477,41,Unemployed,5,Mortgage,Education,Rejected
68,Female,145,PhD,Married,724,35,Unemployed,3,Rent,Home,Approved
61,Female,92,PhD,Divorced,627,43,Unemployed,4,Mortgage,Personal,Approved
69,Female,95,High School,Divorced,310,24,Retired,1,Own,Home,Rejected
20,Female,97,PhD,Married,551,47,Employed,0,Mortgage,Business,Rejected
54,Female,84,PhD,Divorced,534,28,Unemployed,1,Own,Business,Rejected
68,Female,105,Bachelor,Divorced,553,36,Unemployed,4,Own,Business,Rejected
24,Male,53,Bachelor,Married,777,21,Self-Employed,3,Rent,Home,Approved
38,Male,75,Master,Widowed,428,5,Unemployed,3,Mortgage,Business,Rejected
26,Female,94,Bachelor,Widowed,831,26,Retired,2,Own,Personal,Rejected
56,Male,22,High School,Widowed,399,50,Unemployed,5,Own,Personal,Rejected
35,Male,25,PhD,Widowed,589,23,Self-Employed,3,Own,Home,Approved
21,Male,25,Master,Single,525,44,Employed,4,Own,Car,Rejected
42,Female,21,Bachelor,Married,424,33,Employed,3,Rent,Car,Rejected
31,Female,109,PhD,Divorced,737,26,Unemployed,3,Own,Personal,Approved
67,Female,75,High School,Divorced,646,22,Employed,4,Own,Home,Rejected
26,Female,115,PhD,Married,482,20,Retired,0,Rent,Personal,Rejected
43,Female,29,High School,Divorced,650,2,Employed,1,Rent,Business,Rejected
70,Male,106,PhD,Single,814,41,Retired,3,Rent,Business,Approved
19,Female,89,Master,Widowed,677,18,Employed,1,Own,Personal,Approved
37,Male,132,Master,Married,764,5,Employed,1,Own,Business,Approved
45,Female,49,Bachelor,Divorced,639,32,Retired,2,Mortgage,Education,Rejected
64,Male,147,Bachelor,Single,440,46,Retired,0,Mortgage,Education,Rejected
24,Female,97,PhD,Divorced,410,11,Unemployed,1,Mortgage,Education,Rejected
61,Female,74,PhD,Single,560,21,Retired,2,Rent,Car,Rejected
25,Female,68,Bachelor,Divorced,487,22,Unemployed,4,Mortgage,Car,Rejected
64,Female,53,Bachelor,Widowed,670,3,Self-Employed,4,Mortgage,Home,Approved
52,Female,124,PhD,Married,657,9,Retired,4,Rent,Car,Approved
31,Female,41,PhD,Widowed,572,2,Unemployed,5,Own,Personal,Rejected
34,Male,50,PhD,Widowed,748,46,Unemployed,5,Rent,Home,Rejected
53,Female,124,Master,Divorced,716,28,Employed,4,Mortgage,Home,Rejected
67,Male,35,High School,Widowed,687,34,Retired,4,Mortgage,Personal,Approved
57,Female,39,High School,Married,637,10,Employed,2,Rent,Education,Approved
21,Male,62,Bachelor,Single,610,19,Unemployed,0,Rent,Car,Approved
19,Male,66,Master,Single,628,29,Retired,0,Mortgage,Home,Rejected
